facility_id,animal_id,date_collected,date_processed,sample_source,pasture_id,date_treated,anthelmintic,strongyloides,monezia,trichostongyle,epg,detected
NABU,322L,8/15/24,8/19/24,cow,,4/15/24,dectomax,0,0,1,50,1
NABU,337L,8/15/24,8/19/24,cow,,4/15/24,,0,0,0,49,0
NABU,413L,8/15/24,8/19/24,cow,,4/15/24,dectomax,0,0,0,49,0
NABU,420L,8/15/24,8/19/24,cow,,4/15/24,noromectin+safeguard,0,0,1,49,1
NABU,439L,8/15/24,8/19/24,cow,,4/15/24,dectomax,0,0,0,49,0
NABU,328L,8/15/24,8/19/24,cow,,4/15/24,,0,0,0,49,0
NABU,334L,8/15/24,8/19/24,cow,,4/15/24,dectomax,0,0,1,49,1
NABU,346L,8/15/24,8/19/24,cow,,4/15/24,,0,0,1,49,1
NABU,348L,8/15/24,8/19/24,cow,,4/15/24,,0,0,1,49,1
NABU,367L,8/15/24,8/19/24,cow,,4/15/24,noromectin+safeguard,0,0,1,49,1
NABU,394L,8/15/24,8/19/24,cow,,4/15/24,valcor,0,0,1,50,1
NABU,411L,8/15/24,8/19/24,cow,,4/15/24,,0,0,1,49,1
NABU,024L,8/15/24,8/19/24,cow,,4/15/24,dectomax,0,0,0,49,0
NABU,307L,8/15/24,8/19/24,cow,,4/15/24,,0,0,1,49,1
NABU,319L,8/15/24,8/19/24,cow,,4/15/24,noromectin+safeguard,0,0,1,49,1
NABU,320L,8/15/24,8/19/24,cow,,4/15/24,,0,0,1,49,1
NABU,333L,8/15/24,8/19/24,cow,,4/15/24,,0,0,0,49,0
NABU,392L,8/15/24,8/22/24,cow,,4/15/24,,0,0,1,49,1
NABU,001L,8/15/24,8/22/24,cow,,4/15/24,,0,0,1,49,1
NABU,019L,8/15/24,8/22/24,cow,,4/15/24,,0,0,1,50,1
NABU,355L,8/15/24,8/22/24,cow,,4/15/24,noromectin+safeguard,0,0,1,49,1
NABU,362L,8/15/24,8/22/24,cow,,4/15/24,,0,0,0,49,0
NABU,409L,8/15/24,8/22/24,cow,,4/15/24,,0,0,0,49,0
NABU,436L,8/15/24,8/22/24,cow,,4/15/24,dectomax,0,0,1,49,1
NABU,30L,8/15/24,8/23/24,cow,,4/15/24,,0,0,1,49,1
NABU,313L,8/15/24,8/23/24,cow,,4/15/24,valcor,0,0,0,49,0
NABU,342L,8/15/24,8/23/24,cow,,4/15/24,,0,0,0,49,0
NABU,353L,8/15/24,8/23/24,cow,,4/15/24,,0,0,1,50,1
NABU,428L,8/15/24,8/23/24,cow,,4/15/24,,0,1,1,49,0
NABU,438L,8/15/24,8/23/24,cow,,4/15/24,valcor,0,0,0,49,0
NABU,029L,8/15/24,8/23/24,cow,,4/15/24,dectomax,0,0,1,50,1
NABU,033L,8/15/24,8/23/24,cow,,4/15/24,dectomax,0,0,1,49,1
NABU,316L,8/15/24,8/23/24,cow,,4/15/24,noromectin+safeguard,0,0,1,150,1
NABU,372L,8/15/24,8/23/24,cow,,4/15/24,valcor,0,0,0,49,0
NABU,375L,8/15/24,8/23/24,cow,,4/15/24,,0,0,0,49,0
NABU,418L,8/15/24,8/23/24,cow,,4/15/24,dectomax,0,0,1,50,0
NABU,004L,8/15/24,8/23/24,cow,,4/15/24,valcor,0,0,1,49,1
NABU,302L,8/15/24,8/23/24,cow,,4/15/24,valcor,0,0,0,49,0
NABU,303L,8/15/24,8/24/24,cow,,4/15/24,noromectin+safeguard,0,0,1,49,1
NABU,368L,8/15/24,8/24/24,cow,,4/15/24,noromectin+safeguard,0,0,1,49,1
NABU,390L,8/15/24,8/24/24,cow,,4/15/24,noromectin+safeguard,0,0,1,50,1
NABU,393L,8/15/24,8/24/24,cow,,4/15/24,dectomax,0,0,0,49,0
NABU,400L,8/15/24,8/24/24,cow,,4/15/24,,0,0,1,49,1
NABU,417L,8/15/24,8/24/24,cow,,4/15/24,valcor,0,0,0,49,0
NABU,423L,8/15/24,8/24/24,cow,,4/15/24,valcor,0,0,0,49,0
